City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Kuah,MY,2022-03-16 21:53:47,6.3265,99.8432,82.38,83,20,2.3
280,Portland,US,2022-03-16 21:53:43,45.5234,-122.6762,57.97,55,82,4.0
281,Blue Springs,US,2022-03-16 21:53:48,39.0169,-94.2816,75.29,42,2,5.01
282,Santa Isabel Do Rio Negro,BR,2022-03-16 21:53:49,-0.4139,-65.0192,74.89,97,98,4.85
283,Tera,NE,2022-03-16 21:53:49,14.0078,0.7531,87.42,13,10,8.75
284,Scottsboro,US,2022-03-16 21:53:50,34.6723,-86.0341,66.09,88,99,6.71
285,Richards Bay,ZA,2022-03-16 21:53:51,-28.783,32.0377,68.99,84,94,3.44
286,Cap-Aux-Meules,CA,2022-03-16 21:53:51,47.3821,-61.8597,28.45,69,75,11.5
287,Antsohihy,MG,2022-03-16 21:53:52,-14.8796,47.9875,75.61,96,100,1.63
288,Lavrentiya,RU,2022-03-16 21:53:53,65.5833,-171.0,4.82,82,4,7.23
289,Eidfjord,NO,2022-03-16 21:53:54,60.4675,7.0719,40.33,90,100,7.2
290,Nikki,BJ,2022-03-16 21:53:54,9.9401,3.2108,86.92,27,100,4.32
