City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Coulommiers,FR,48.8145,3.085,62.11,56,1,5.91,clear sky
260,Severo-Yeniseyskiy,RU,60.3725,93.0408,14.23,97,100,3.09,light snow
261,Olinda,BR,-8.0089,-34.8553,82.13,83,75,5.75,broken clouds
262,Lazaro Cardenas,MX,17.9583,-102.2,83.77,47,51,8.1,broken clouds
263,Rumlang,CH,47.4504,8.5299,58.77,24,0,5.75,clear sky
264,Kavaratti,IN,10.5669,72.642,81.88,68,22,9.37,few clouds
265,Glodeni,MD,47.7708,27.5144,49.71,48,0,6.55,clear sky
266,Tsumeb,NA,-19.2333,17.7167,71.91,65,90,3.89,overcast clouds
267,Korla,CN,41.7597,86.1469,46.09,61,43,4.79,scattered clouds
268,Akureyri,IS,65.6835,-18.0878,35.53,87,75,8.05,broken clouds
269,Cayenne,GF,4.9333,-52.3333,75.24,1,75,9.22,moderate rain
270,Polyanka,UA,50.2584,27.6881,45.91,56,0,2.64,clear sky
271,Kaitangata,NZ,-46.2817,169.8464,53.71,95,15,3.2,few clouds
272,Nome,US,64.5011,-165.4064,-0.33,71,0,0.0,clear sky
273,Anito,PH,12.4497,125.2886,78.21,91,79,7.11,broken clouds
274,Phan Thiet,VN,10.9333,108.1,77.5,87,81,4.03,broken clouds
275,Tyup,KG,42.7276,78.3648,34.29,73,100,3.42,overcast clouds
276,Machiques,VE,10.0644,-72.545,94.51,37,65,9.53,broken clouds
277,Hasaki,JP,35.7333,140.8333,30.6,59,48,25.28,scattered clouds
278,Saint-Philippe,RE,-21.3585,55.7679,80.19,90,76,9.93,light rain
279,Mackenzie,CA,55.2999,-123.1698,37.62,93,100,12.66,overcast clouds
280,Severo-Kurilsk,RU,50.6789,156.125,26.15,71,88,14.54,light snow
281,Aravete,EE,59.1403,25.7485,30.99,92,0,4.94,clear sky
282,Ancud,CL,-41.8697,-73.8203,55.22,86,100,16.67,light rain
283,Ha Tinh,VN,18.3333,105.9,77.47,84,25,2.75,scattered clouds
284,Sukhaya Buyvola,RU,45.1533,42.9956,32.83,50,0,11.54,clear sky
285,Verkhnevilyuysk,RU,63.4453,120.3167,7.14,99,95,3.15,overcast clouds
286,Fairbanks,US,64.8378,-147.7164,-0.02,74,40,3.44,scattered clouds
287,Kosh-Agach,RU,50.0,88.6667,-1.77,90,89,4.65,overcast clouds
288,Marzuq,YE,14.4,46.4667,72.5,48,12,6.8,few clouds
289,Ginir,ET,7.1333,40.7,67.86,45,80,4.59,broken clouds
